start	end	text
0	3000	Los... Los cierro.
6000	7000	Yo lo prendí.
7000	8000	Y tú un celular.
8000	9000	El internet.
9000	10000	Yo lo prendí.
17000	19000	¿Qué tú? Pero me queda muy ancho esta tonta.
19000	21000	No, no. Te queda muy apretado.
21000	22000	¡No!
22000	23000	Esta se queda bien.
23000	24000	Esta se queda bien.
24000	25000	Tú has usado pantalones muy apretados.
25000	30000	¿Pero a este cómo me queda? Bien.
30000	32000	No te lo compré a mí.
32000	34000	Parece que yo tengo un problema con los pantalones apretados.
34000	36000	No, no digo el real.
38000	41000	No me día que el mismo coche, hombre.
41000	43000	¡Ay, Dios mío, el mismo coche!
44000	46000	Ve, ve, habla.
46000	47000	¿Pero te acaba?
47000	48000	Sí.
48000	51000	Mmm... bárame la��me 약간.
52000	54000	No, pero salta alguien.
56000	57000	Montes.
58000	59000	Aquí estoy en medias, el sol tú.
59000	60600	Pá' te vengo un poco a...
61000	62000	Se va a ganar un hombre.
64000	66000	Se va a ganar un asunto, álvaro.
66000	67000	¿Sí?
67000	69000	Se va a ganar un asunto.
72000	73000	pick up the phone.
73000	74000	Ya no chill.
74000	76000	Saúl, a ver si se llama a creer.
76000	77000	No, no.
88500	90500	Yo me atreveré, ¿por qué?
92500	94000	Hay un policía aquí.
94000	95000	Uno.
95500	96500	Dos.
96500	117000	Sí, lo durmieron en el vacío donde estaban, cogieron la misma ruta que cogieron ayer y ahora están de vuelta en la misma área.
117000	122000	El celular sigue durmiendo cada cierto tiempo y me dando las señales exactamente donde están.
122000	124000	Yo supongo, ¿dónde están?
124000	125500	En la misma dirección de ayer.
125500	127500	No, se siguen moviendo.
127500	132500	Yo les dije, la misma ruta que tomaron para regresarse al barrio, tomaron esta mañana para regresarse.
132500	134500	Pero ésta ha estado ahí por como una hora.
134500	135500	Sí.
135500	137500	Han estado ahí, sí.
141500	142500	Bueno, acompañarnos, ¿no?
142500	146500	Nos prestan la esta para irnos a ver.
146500	148500	Se la seguimiento.
148500	150500	¿Pero se la hay?
150500	151500	Claro.
151500	152500	Acompañarnos no quieren.
152500	154500	¿Qué dirección es esa?
154500	156500	Un celular.
156500	158500	Se habló de una dirección y ya está en...
158500	159500	Bueno.
159500	161500	¿Quién es el sector?
161500	163500	Es la conversación que estábamos teniendo.
163500	169500	Ustedes no pueden en el sistema comunicarse con sus colegas para que en el sistema puedan averiguar quién...
169500	171500	Vaya gente, no solo ustedes.
171500	173500	No van a ir para allá.
173500	174500	¿Por qué no van a ir?
174500	182500	Las situaciones que le van a decir lo mismo, le van a pedir que alguien, la persona interesada que esté en el lugar, eso le van a pedir.
182500	186500	¿Ustedes hicieron ayuda por fuera de lo que sucedió?
186500	187500	Claro.
187500	190500	Lo reportamos por la radio, usted escuchó que alertamos...
190500	193500	No, hay algún documento estadístico de que sucedió.
193500	196500	El parte policial que efectivamente, que sí se realiza.
196500	198500	¿Usted hizo parte policial?
198500	199500	Efectivamente.
199500	203500	Ahoritito no le ando a calgar, pero sí se realiza la parte policial, sí.
203500	208500	¿Y cómo hicieron parte policial sin verificar que las víctimas están de acuerdo con lo que se escribió?
208500	212500	No, no, no, esa es la verdad que ustedes nos dieron.
212500	220500	Que se han bajado del bus, han estado caminando por la 6 de diciembre y un aproximado de entre 7 y 10 personas les han abordado,
220500	229500	han procedido a sustraerle lo que es un teléfono, una cartera la cual tenía dinero y documentos personales.
229500	231500	Pero no hemos visto ese documento.
231500	233500	No, pero eso es lo que usted nos dijo.
233500	235500	El documento usted puede encontrar...
235500	239500	¿Usted en el documento usted no pone sus nombres? ¿Por qué no nos pregunta nombres?
239500	240500	No, yo tengo sus nombres.
240500	241500	¿Y el mío?
241500	242500	Eso yo no tengo.
242500	243500	Exacto.
243500	245500	Es como, oiga...
245500	247500	Pero entonces, ¿hay muchas nombres?
247500	251500	Nosotros lo que venimos es a buscar la forma de buscarles facilidad.
251500	253500	Primero, escúchenme.
253500	258500	Nosotros no tenemos, o sea, nosotros no somos del inconveniente de lo que les ha pasado a ustedes.
258500	260500	Venimos a colaborarles.
260500	265500	Este policía, el trabajo de ustedes es defender a los autitefensos. Esto es una colaboración.
265500	266500	Escúchenme lo que les voy a decir entonces.
266500	267500	De un voluntariado.
267500	270500	Escúchenme, yo no soy de más antiguos también, sargento.
270500	273500	Lo lógico sería que usted no más ponga su denuncia.
273500	276500	Nosotros hacemos parte policial mediante...
276500	277500	No, yo he hecho parte policial.
277500	278500	Usted pone su denuncia.
278500	280500	¿Cómo es la denuncia si no la hemos firmado?
280500	281500	A ver, a ver, a ver.
281500	283500	Usted tiene que poner su denuncia en la fiscalía.
283500	286500	Y ahí le van a otorgar un agente investigador a usted.
286500	290500	Ahí él le va a hacer recuperar las pertenencias a los que se le han robado.
290500	292500	Entonces, vamos a hacer un agente investigador.
292500	294500	Ese es el procedimiento normal.
294500	298500	Porque el teléfono está ahí, la computadora está diciendo exactamente dónde está.
298500	302500	Y la policía aquí no se ha movilizado.
302500	305500	O sea, me refiero a lo que usted dice.
305500	308500	Y ustedes refutan llamar a nadie más.
308500	310500	Anoche nosotros vinimos, ¿qué le dijimos?
310500	314500	Usted quería que yo me metiera en un barrio con usted, hacer el trabajo de policía.
314500	316500	No, no, no, no.
316500	318500	El trabajo es lo que vamos a hacer nosotros.
318500	322500	Usted quiere que yo me metiera en un carro de policía.
322500	324500	Como ustedes, lo que son extraños para mí.
324500	325500	Ahí lo han robado.
325500	326500	Lo que son los extraños para nosotros.
326500	327500	Pero ese es su trabajo.
327500	328500	Por eso pues.
328500	330500	Usted también es extraño y yo lo atrepo a mi carro.
330500	331500	Porque ese es su trabajo.
331500	333500	Usted está entrenado.
333500	335500	Pero no sabemos de qué puede hacer.
335500	338500	Usted tiene un arma y usted está entrenado.
338500	339500	Y nosotros no.
339500	341500	Está bien, está bien.
341500	343500	Pero usted es un extraño y igual lo supo al carro, imagínese.
343500	344500	Puede pasar cualquier cosa.
344500	345500	Porque ese es su trabajo.
345500	347500	Acá viven muchos policías que me han matado así.
347500	349500	Señor, usted es la víctima.
349500	350500	Lo que pasamos nosotros.
350500	352500	Usted hizo lo mismo a Noche.
352500	353500	Estamos colaborando.
353500	354500	Estamos colaborando.
354500	356500	En mi país colaboración significa un voluntario.
356500	357500	En su país.
357500	358500	Acá es diferente.
358500	360500	Las leyes acá son diferentes.
360500	363500	No nos permite hacer muchas cosas.
363500	365500	Ese robo es parte de la ley que los protege.
365500	367500	Ustedes están protegiéndonos.
367500	369500	Están protegiéndonos.
369500	372500	Ustedes llegan aquí, ha sido esa víctima de que ya no está muerto.
372500	373500	Este carro no puede musar.
