start	end	text
0	5560	pero si aquí tú no puedes controlar que te depositen bien la basura porque el tema ese
5560	11560	tema mira te voy a te voy a desmenuzar la realidad de los hechos es verdad que tú no sabes quién es
11560	16120	que te la está poniendo pero por eso yo te estoy diciendo a ti que hay tres poros y posibles
16120	23400	infractores la que está al lado del b201 que la del b202 y lo 2 que están al frente entonces
23400	28520	usted agarra usted les manda una comunicación a eso 3 con la foto y le dice que nosotros vamos
28520	33880	a comenzar a ver porque eso ahí no es para poner basura o sea ellos tienen espacio donde poner la
33880	40600	basura pero es mejor ponerla en el medio de la escalera porque los otros dos tienen una tienen
40600	47640	un espacio afuera de la puertecita de que sale de ellos que como un balconcito en cosa y la otra
47640	52880	tiene el espacio para poner la basura del lado de ella porque esas sitios tienen como unos cositos
52880	57280	en cemento donde tú puedes colocar la basura pero la gente no la quiere tener del lado de la
57280	62880	puerta es mejor tener la frente a la puerta del otro y eso es lo primero inclusive ahí salió una
62880	68640	dueña donde le dijo a y que ese era el sitio de poner la basura donde aquí todos sabemos que ese
68640	75440	no es el sitio de poner la basura porque ese es el medio y es el frente de la puerta de ella es lo
75440	81120	primero entonces aquí tenemos un supervisor tenemos una administración entonces lo correcto
81120	86200	es que se haga una comunicación y se les mande a esas tres unidades con la advertencia porque hay
86200	91800	que darle la advertencia o sea no soy yo como condomine la que tiene que hacer la gestión porque
91800	95640	para eso que nosotros estamos pagando una administración porque si no entonces vamos a
95640	100200	quitar la administración y vamos a sentarnos nosotros vamos a poner grupos de supervisión y
100200	104880	de apoyo y trabajemos y ganemos nuestro cuarto entonces aquí todo el mundo como le dije el otro
104880	112040	día tiene que saber lo que le toca entonces de los parqueos es lo mismo el infractor está ahí en el
112040	118240	b entonces hay que mandarlo una comunicación a todos y decirle este apartamento está ocupado y
118240	125200	ustedes saben que no pueden estar tomando parqueos ajenos es que no pueden entonces si aquí está si
125200	129520	si aquí entre el que le da la gana por la puerta y todavía nosotros no hemos podido resolver ese
129520	136120	problema de la puerta aquí todo el mundo hace lo que tú te crees que tú vas a poder regular y tú
136120	141080	vas a poder hacer un censo y ve cuánta gente tiene parqueo y quién se roba un parqueo y quién no lo
141080	146400	correcto es porque nosotros sí sabemos cuando una gente se muda lo correcto es que cuando una gente
146400	153560	se mude ahí inmediatamente haya un cono un cono o una cosa dura que se le ponga en el medio puesta
153560	160160	por nosotros mismos por la administración que nosotros lo podemos hacer y que ese cono solo
160160	166120	lo mueva el que está en cosa ponerse de acuerdo con el que se va aquí no se puede parquear ya
166120	172040	esto de quien movió desde que se ve por la cámara quien movió ese cono y papá qué hace voy pregunto
172040	177560	de quién el vehículo una infracción pero eso hay que tener voluntad y darle seguimiento a la cosa
177560	184200	pero aquí no aquí todo es al calor de los hechos cuando explota la bomba es que queremos hay después
184200	189520	que la gente ya se explota y se rebosa y dice de todo ahí es que hay que salimos a buscar y esa
189520	195320	no es la función ni de la administración ni de la junta directiva es preveer las cosas y trabajar
195320	200720	con tiempo para evitar situaciones porque la gente después se jarta se jarta y le pierde el respeto
