start	end	text
0	18880	Hace mucho tiempo le hago caso al corazón
18880	24800	Y pasan los días, los meses pensando en dolor
24800	31120	Ha llegado el tiempo para usar la razón
31120	36960	Ante que sea tarde y sin querer me parten dos
36960	41680	Ante de que salga el sol, anda el acelerador
41680	44240	Me vaya sin freno y pierda el control
44240	47760	Nada más seremos dos, tú y yo acariciándonos
47760	50240	En medio del tiempo sin decir adiós
50240	55280	Y solo mírame con eso yo tan linda
55280	62960	Que con eso yo también, hoy he vuelto a nacer
62960	69040	Hace tiempo que no agarró a nadie de la mano
69040	73920	Hace tiempo que no envío buenos días te amo
73920	77440	Pero tú me tienes enredado, me envolví
77440	80240	Y iba por mi camino y me perdí
80240	83440	Mi mirada cambió cuando tu sos bi
83440	86400	Bye bye a los culos, ni me despedí
86400	89120	Yo no te busqué, no
89120	91760	Chocamos en el trayecto
91760	94560	Con tu alma en la que yo conecto
94560	98560	Tranquila no tiene que ser perfecto, no
98560	101520	Aquí no existe el pecado
101520	104560	Y equivocarse es bonito
104560	107600	Los errores son placeres
107600	110400	Igual que to' tus besitos
110400	115280	Y solo mírame con eso yo tan linda
115280	122320	Que con eso yo también, hoy he vuelto a nacer
122320	127280	Y solo mírame con eso yo tan linda
127280	134480	Que con eso yo también, hoy he vuelto a nacer
134480	158080	Tú y yo
158080	160400	Yo no me dejo llevar de nadie
160400	163520	Yo solo me dejo llevar de tu sonrisa
163520	166880	Y de luna el cerquita de tu boca
166880	169720	Si yo estoy loco, tú estás loquita
169720	173800	Pero baby, como tú no hay otra, no
173800	176240	Quiero regalarte ir a Sol
176240	179440	Ir pa' la playa y buscarte caracoles
179440	182640	Cuando estoy contigo, yo no miro el rol
182640	185640	Vamos a bailar 200 canciones
185640	188840	Nadie me pone como tú me pones
188840	194280	Mmm, mmm, mmm, mmm, mmm
200560	203200	Yo le hablo a Dios y tú eres su respuesta
203200	206520	Aprendí que los momentos lindos nunca cuestan
206520	209360	Como cuando me regalas tu mirada
209360	212560	Y el sol supuesta, y el sol supuesta
212560	215560	Cuando estoy encima de ti, de ti
215560	218560	Mami, ya me olvido de todo, de todo
218560	221560	No se ha vuelto más yo aquí
221560	224560	Solamente tú y yo
224560	227560	Antes de que salga el sol, vente al acelerador
227560	230560	Me vaya sin freno y pierda el control
230560	233560	Nada más seremos dos, tú y yo acariciándonos
233560	236160	En medio del tiempo sin decir adiós
236160	241160	Y solo mírame, con eso yo estoy linda
241160	248160	Que con eso yo también, he vuelto a nacer
248160	253160	Y solo mírame, con eso yo estoy linda
253160	280160	Que con eso yo también, he vuelto a nacer
