start	end	text
0	18880	Hace mucho tiempo le hago caso al corazón
18880	24800	Y pasan los días, los meses pensando en dolor
24800	31120	Ha llegado el tiempo para usar la razón
31120	36960	Ante que sea tarde y sin querer me parten dos
36960	41680	Ante de que salga el sol, anda el acelerador
41680	44240	Me vaya sin freno y pierda el control
44240	47760	Nada más seremos dos, tú y yo acariciándonos
47760	50240	En medio del tiempo sin decir adiós
50240	55280	Y solo mírame con eso yo tan linda
55280	62960	Que con eso yo también, hoy he vuelto a nacer
62960	69040	Hace tiempo que no agarró a nadie de la mano
69040	73920	Hace tiempo que no envío buenos días te amo
73920	77440	Pero tú me tienes enredado, me envolví
77440	80240	Y iba por mi camino y me perdí
80240	83440	Mi mirada cambió cuando tu sos bi
83440	86400	Bye bye a los culos, ni me despedí
86400	89120	Yo no te busqué, no
89120	91760	Chocamos en el trayecto
91760	94560	Con tu alma en la que yo conecto
94560	98560	Tranquila no tiene que ser perfecto, no
98560	101520	Aquí no existe el pecado
101520	104560	Y equivocarse es bonito
104560	107600	Los errores son placeres
107600	110400	Igual que to' tus besitos
110400	115280	Y solo mírame con eso yo tan linda
115280	122320	Que con eso yo también, hoy he vuelto a nacer
122320	127280	Y solo mírame con eso yo tan linda
127280	134480	Que con eso yo también, hoy he vuelto a nacer
134480	151120	Tú y yo, tú y yo, tú y yo
151120	157920	Tú y yo, tú y yo, tú y yo
157920	160400	Yo no me dejo llevar de nadie
160400	163280	Yo solo me dejo llevar de tu sombrillo
163280	166640	Y de luna del cerquita de tu boca
166640	169480	Si yo estoy loco, tú estás loquita
169480	173600	Pero, baby, como tú no hay otra, no
173600	176040	Quiero regalarte ir al sol
176040	179200	Ir pa' la playa y buscarte caracoles
179200	182400	Cuando estoy contigo yo no miro el rol
182400	185400	Vamos a bailar 200 canciones
185400	188600	Nadie me pone como tú me pones
188600	194600	Mmm, mmm, mmm, mmm, mmm
200600	203200	Yo le hablo a Dios y tú eres su respuesta
203200	206200	Aprendí que los momentos lindos nunca cuestan
206200	209200	Como cuando me regalas tu mirada
209200	212200	Y el sol supuesta, y el sol supuesta
212200	215200	Cuando estoy encima de ti, de ti
215200	218200	Mami, yo me olvido de todo, de todo
218200	221200	No se vuelta más de aquí
221200	224200	Solamente tú y yo
224200	227200	Antes de que sale el sol, de la acelerador
227200	230200	Me vaya sin freno y pierda el control
230200	233200	Nada más seremos dos, tú y yo acariciándonos
233200	236200	En medio del tiempo sin decir adiós
236200	241200	Y solo mírame con eso yo estoy linda
241200	244200	Que con eso yo también
244200	248200	Hoy he vuelto a nacer
248200	253200	Y solo mírame con eso yo estoy linda
253200	256200	Que con eso yo también
256200	275200	Hoy he vuelto a nacer
